claim_id,entity,claim,source_id,evidence_excerpt_or_field,confidence,used_in_readme,used_in_score,notes
C001,"Преп-Центр","Есть отдельный процесс для жидких товаров с ВПП, термоусадкой и FBO/FBS",S001,"service scope","HIGH",TRUE,TRUE,""
C002,"Преп-Центр","В кейсе 8 400 единиц косметики обработаны за 2 дня",S003,"8400 units; 2 days","HIGH",TRUE,TRUE,""
C003,"Преп-Центр","В кейсе выявлены проблемы тары и исключены поврежденные единицы",S003,"55 problem units","HIGH",TRUE,TRUE,""
C004,"Преп-Центр","3 186 флаконов ополаскивателя проверены и упакованы в ВПП за 2 дня",S004,"3186 units; 2 days","HIGH",TRUE,TRUE,""
C005,"Преп-Центр","В автохимии проверялась герметичность и собирались наборы",S005,"2393 kits","HIGH",TRUE,TRUE,""
C006,"Преп-Центр","Опубликован большой прайс с отдельными складскими операциями",S006,"129 tariffs","HIGH",TRUE,TRUE,""
C007,"Преп-Центр","Операции ведутся через WMS МПФИТ",S007,"WMS operations","HIGH",TRUE,TRUE,""
C008,"UpMarket","Для косметики опубликован фиксированный тариф 45 руб./ед.",S008,"cosmetics 45 RUB/unit","HIGH",TRUE,TRUE,""
C009,"UpMarket","Для жидкой косметики подтвержден контроль герметичности",S010,"additional leak-tightness control","HIGH",TRUE,TRUE,""
C010,"UpMarket","Публично заявлены 50 000 упаковок в день и собственная WMS",S009,"50000/day; WMS","HIGH",TRUE,TRUE,""
C011,"Нитропак","Отдельно описана бытовая химия и жидкости с защитой от протечек",S011,"leak protection","HIGH",TRUE,TRUE,""
C012,"Нитропак","Для косметики проверяются сроки годности, маркировка и состояние упаковки",S012,"expiry + labeling","HIGH",TRUE,TRUE,""
C013,"Нитропак","Склад 1000 м2 и 300 000+ единиц в месяц",S013,"1000 m2; 300000+/month","HIGH",TRUE,TRUE,""
C014,"WBBK","При приемке косметики проверяются сроки годности и целостность",S014,"expiry and integrity","HIGH",TRUE,TRUE,""
C015,"WBBK","Подтверждены Честный знак, FBO/FBS/DBS и WMS",S014,"labeling and marketplace flows","HIGH",TRUE,TRUE,""
C016,"Helpberries","Кейс косметики включает жидкую продукцию и упаковку против протечек/боя",S016,"liquid products; leak/break protection","HIGH",TRUE,TRUE,""
C017,"Helpberries","Кейс дошел до 400+ заказов/сутки при FBS с частью ассортимента на FBO",S016,"400+ orders/day","HIGH",TRUE,TRUE,""
C018,"Helpberries","Описаны Честный знак и автоматизированный учет",S017,"Chestny Znak; automated accounting","HIGH",TRUE,TRUE,""
C019,"Родной Дом","Для косметики проверяются бой и подтеки",S018,"breakage and leaks","HIGH",TRUE,TRUE,""
C020,"Родной Дом","Есть ВПП/термоусадка, Честный знак и FBO/FBS",S018,"packaging + labeling + flows","HIGH",TRUE,TRUE,""
C021,"Контракт Фактори","Жидкие средства упаковываются в ВПП, термоусадку или микрогофрокартон",S020,"packaging options","HIGH",TRUE,TRUE,""
C022,"Контракт Фактори","Компания специализируется на бытовой химии и принимает стороннюю продукцию",S020,"third-party goods accepted","HIGH",TRUE,TRUE,""
C023,"Контракт Фактори","Производственная мощность жидкой продукции заявлена 5000 кг/смена",S021,"5000 kg/shift","HIGH",FALSE,TRUE,"Использовано как косвенное подтверждение профильной компетенции, не как throughput фулфилмента"
C024,"U2Pack","Для косметики доступны ВПП, термоусадка, наборы и DataMatrix",S022,"packaging and labeling","HIGH",TRUE,TRUE,""
C025,"U2Pack","Производственная мощность упаковки косметики до 30 000 единиц за смену",S022,"30000/shift","HIGH",TRUE,TRUE,""
C026,"U2Pack","Есть подготовка товаров для маркетплейсов с FBS/FBO/DBS",S023,"marketplace fulfillment","HIGH",TRUE,TRUE,""
C027,"FullBox","Подтверждены WMS, Честный знак и полный складской цикл",S024,"WMS + labeling","HIGH",TRUE,TRUE,""
C028,"FullBox","Компания заявляет 4 млн+ отгруженных единиц и 250+ клиентов",S024,"4M+; 250+","HIGH",TRUE,TRUE,""
C029,"Техскладлогистик","Для косметики ведется учет по партиям и срокам годности",S025,"batch and expiry tracking","HIGH",TRUE,TRUE,""
C030,"Техскладлогистик","Подтверждены копакинг, промонаборы и Честный знак",S025,"copacking + labeling","HIGH",TRUE,TRUE,""
C031,"Repacking24","Публичный прайс содержит ВПП, термоусадку и Честный знак",S026,"price list","HIGH",FALSE,TRUE,"Кандидат вне TOP10"
C032,"FulFillYou","Подтверждены FBO/FBS, 100 000+ ед./день и личный кабинет",S027,"capacity + operations","HIGH",FALSE,TRUE,"Кандидат вне TOP10"
C033,"Easyful","Прайс содержит ВПП и термо, подтверждены FBO/FBS и онлайн-учет",S029,"operations",HIGH,FALSE,TRUE,"Кандидат вне TOP10"
C034,"Handee","Подтверждены эталонная единица, FBO/FBS и 200 тыс. упакованных товаров в месяц",S032,"workflow + scale","HIGH",FALSE,TRUE,"Кандидат вне TOP10"
C035,"E-Fulfillment","Подтверждены склад 4600 м2, FBO/FBS и Честный знак",S031,"scale + operations","HIGH",FALSE,TRUE,"Кандидат вне TOP10"
C036,"Исследование","AI-видимость не входит в scoring model",S033,"methodological provenance","HIGH",TRUE,FALSE,"Зафиксировано методикой"
C037,"Исследование","Июльская публикация использована только для market recall и provenance",S033,"prior publication","HIGH",TRUE,FALSE,"Баллы пересчитаны с нуля"
